Epoch 1 | iter 10 step 0 | loss train: 2.686, val: n/a | iter time: 1210.97 ms
Epoch 1 | iter 20 step 1 | loss train: 2.690, val: n/a | iter time: 2371.70 ms
Epoch 1 | iter 30 step 1 | loss train: 2.614, val: n/a | iter time: 1729.52 ms
Epoch 1 | iter 40 step 2 | loss train: 2.593, val: n/a | iter time: 1707.27 ms
Epoch 1 | iter 50 step 3 | loss train: 2.534, val: n/a | iter time: 2006.50 ms
Epoch 1 | iter 60 step 3 | loss train: 2.677, val: n/a | iter time: 1188.77 ms
Epoch 1 | iter 70 step 4 | loss train: 2.615, val: n/a | iter time: 2037.94 ms
Epoch 1 | iter 80 step 5 | loss train: 2.687, val: n/a | iter time: 1208.32 ms (step)
Epoch 1 | iter 90 step 5 | loss train: 2.702, val: n/a | iter time: 1187.19 ms
Epoch 1 | iter 100 step 6 | loss train: 2.689, val: n/a | iter time: 2637.53 ms
Epoch 1 | iter 110 step 6 | loss train: 2.615, val: n/a | iter time: 1194.01 ms
Epoch 1 | iter 120 step 7 | loss train: 2.564, val: n/a | iter time: 1866.10 ms
Epoch 1 | iter 130 step 8 | loss train: 2.570, val: n/a | iter time: 2106.34 ms
Epoch 1 | iter 140 step 8 | loss train: 2.522, val: n/a | iter time: 1190.21 ms
Epoch 1 | iter 150 step 9 | loss train: 2.514, val: n/a | iter time: 1747.96 ms
Epoch 1 | iter 160 step 10 | loss train: 2.485, val: n/a | iter time: 1869.07 ms (step)
Epoch 1 | iter 170 step 10 | loss train: 2.433, val: n/a | iter time: 1217.48 ms
Epoch 1 | iter 180 step 11 | loss train: 2.454, val: n/a | iter time: 1193.74 ms
Epoch 1 | iter 190 step 11 | loss train: 2.430, val: n/a | iter time: 1187.85 ms
Epoch 1 | iter 200 step 12 | loss train: 2.347, val: n/a | iter time: 1244.19 ms
Epoch 1 | iter 210 step 13 | loss train: 2.278, val: n/a | iter time: 1194.03 ms
Epoch 1 | iter 220 step 13 | loss train: 2.324, val: n/a | iter time: 1427.00 ms
Epoch 1 | iter 230 step 14 | loss train: 2.237, val: n/a | iter time: 1190.73 ms
Epoch 1 | iter 240 step 15 | loss train: 2.166, val: n/a | iter time: 1202.03 ms (step)
Epoch 1 | iter 250 step 15 | loss train: 2.129, val: n/a | iter time: 1260.96 ms
Epoch 1 | iter 260 step 16 | loss train: 2.113, val: n/a | iter time: 1187.76 ms
Epoch 1 | iter 270 step 16 | loss train: 2.101, val: n/a | iter time: 1191.51 ms
Epoch 1 | iter 280 step 17 | loss train: 2.057, val: n/a | iter time: 1613.18 ms
Epoch 1 | iter 290 step 18 | loss train: 2.016, val: n/a | iter time: 2045.54 ms
Epoch 1 | iter 300 step 18 | loss train: 1.954, val: n/a | iter time: 1592.99 ms
Epoch 1 | iter 310 step 19 | loss train: 1.908, val: n/a | iter time: 1189.57 ms
Epoch 1 | iter 320 step 20 | loss train: 1.929, val: n/a | iter time: 1608.96 ms (step)
Epoch 1 | iter 330 step 20 | loss train: 1.862, val: n/a | iter time: 1113.99 ms
Epoch 1 | iter 340 step 21 | loss train: 1.817, val: n/a | iter time: 1114.07 ms
Epoch 1 | iter 350 step 21 | loss train: 1.736, val: n/a | iter time: 1235.26 ms
Epoch 1 | iter 360 step 22 | loss train: 1.708, val: n/a | iter time: 1606.58 ms
